,name,img,description
13,Windsweep 2,https://img.game8.co/3405502/bdffdd80116ef048cc5dced3884d8024.png/show,"If unit initiates attack, no follow-up occurs. Against foe with sword, lance, axe, bow, dagger, or beast damage, if unit\xe2\x80\x99s Spd - foe\xe2\x80\x99s Spd \xe2\x89\xa5 3, foe can\xe2\x80\x99t counterattack."
14,Windsweep 3,https://img.game8.co/3405503/0371209c3437da4262b75bc6e83a1623.png/show,"If unit initiates attack, no follow-up occurs. Against foe with sword, lance, axe, bow, or dagger, or beast damage, if unit\xe2\x80\x99s Spd - foe\xe2\x80\x99s Spd \xe2\x89\xa5 1, foe can\xe2\x80\x99t counterattack."
15,Watersweep 1,https://img.game8.co/3405508/0f74daa4655cbd70046cdd60aa2cb57b.png/show,"If unit initiates attack, no follow-up occurs. Against foe with magic, staff or dragonstone, if unit\xe2\x80\x99s Spd \xe2\x89\xa5 foes\xe2\x80\x99s Spd +5, foe cannot counterattack."
16,Watersweep 2,https://img.game8.co/3405510/a725c71c18e4ef428e292fada037239d.png/show,"If unit initiates attack, no follow-up occurs. Against foe with magic, staff or dragonstone, if unit\xe2\x80\x99s Spd \xe2\x89\xa5 foes\xe2\x80\x99s Spd +3, foe cannot counterattack."
17,Watersweep 3,https://img.game8.co/3405509/ed34bbc6ef022f7f6f5840a9ac8ead2c.png/show,"If unit initiates attack, no follow-up occurs. Against foe with magic, staff or dragonstone, if unit\xe2\x80\x99s Spd \xe2\x89\xa5 foes\xe2\x80\x99s Spd +1, foe cannot counterattack."
18,Mystic Boost 1,https://img.game8.co/3407601/1cd2834015744bcbbe18b7c4bcaf8258.png/show,"Disables foe\xe2\x80\x99s skills that ""calculate damage using the lower of foe\xe2\x80\x99s Def or Res"" and ""calculate damage from staff like other weapons. Restores 2 HP after combat."
19,Mystic Boost 2,https://img.game8.co/3407592/0e19996fb0dbfcdab32d2bc4289336ce.png/show,"Disables foe\xe2\x80\x99s skills that ""calculate damage using the lower of foe\xe2\x80\x99s Def or Res"" and ""calculate damage from staff like other weapons. Restores 4 HP after combat."
20,Mystic Boost 3,https://img.game8.co/3407590/05c716beaef373032d2f9bc74cded739.png/show,"Disables foe\xe2\x80\x99s skills that ""calculate damage using the lower of foe\xe2\x80\x99s Def or Res"" and ""calculate damage from staff like other weapons. Restores 6 HP after combat."
21,Null Follow-Up 1,https://img.game8.co/3406135/31438a65f7f39159d1158aa889a7f31d.png/show,"At start of combat, if unit\xe2\x80\x99s HP \xc2\xa0= 100%, disables foe\xe2\x80\x99s skills that guarantee foe\xe2\x80\x99s follow-up attack and foe\xe2\x80\x99s skills that prevent unit\xe2\x80\x99s follow-up attack."
22,Null Follow-Up 2,https://img.game8.co/3406134/36bcd77c9735a6b3dc7168138fc70713.png/show,"At start of combat, if unit\xe2\x80\x99s HP \xe2\x89\xa5 50%, disables foe\xe2\x80\x99s skills that guarantee foe\xe2\x80\x99s follow-up attack and foe\xe2\x80\x99s skills that prevent unit\xe2\x80\x99s follow-up attack."
23,Null Follow-Up 3,https://img.game8.co/3406133/55b7b61207486395976e7cdb10b6ca19.png/show,Disables foe\xe2\x80\x99s skills that guarantee foe\xe2\x80\x99s follow-up attack and foe\xe2\x80\x99s skills that prevent unit\xe2\x80\x99s follow-up attack.
24,Null C-Disrupt 1,https://img.game8.co/3407539/3d7bc8987c4561897deec6fa781943b7.png/show,"At start of combat, if unit\xe2\x80\x99s HP = 100%, neutralizes status effects and disables skills that prevent counterattacks during combat."
25,Null C-Disrupt 2,https://img.game8.co/3407534/a2d7e3b6b1e62b33856cbc6e3dddb7d1.png/show,"At start of combat, if unit\xe2\x80\x99s HP \xe2\x89\xa5 50%, neutralizes status effects and disables skills that prevent counterattacks during combat."
26,Null C-Disrupt 3,https://img.game8.co/3407536/53eaffc60416bf271d780a1fb44840f1.png/show,Neutralizes status effects and disables skills that prevent counterattacks during combat.
27,Spurn 1,https://img.game8.co/3407531/110fbecbd0b426c31a59c2d17d1c0cf5.png/show,"If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding R\xc3\xb8kkr area-of-effect Specials) by percentage = difference between stats x 2 (max 20%). If unit's HP \xe2\x89\xa4 25% and unit's attack triggers Special, deals +5 damage when Special triggers."
28,Spurn 2,https://img.game8.co/3407530/3c6f8f9d5295852e062863e9d8757025.png/show,"If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding R\xc3\xb8kkr area-of-effect Specials) by percentage = difference between stats x 3 (max 30%). If unit's HP \xe2\x89\xa4 50% and unit's attack triggers Special, deals +5 damage when Special triggers."
29,Spurn 3,https://img.game8.co/3407529/06c245257c8c4ac380b040486daa24ff.png/show,"If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding R\xc3\xb8kkr area-of-effect Specials) by percentage = difference between stats x 4 (max 40%). If unit's HP \xe2\x89\xa4 75% and unit's attack triggers Special, deals +5 damage when Special triggers."
30,Dragon Wall 1,https://img.game8.co/3407525/bd4bdd046d27bda3390c7780d5af32e5.png/show,"If unit's Res > foe's Res, reduces damage from attacks during combat and from area-of-effect Specials (excluding R\xc3\xb8kkr area-of-effect Specials) by percentage = difference between stats x 2 (max 20%)."
31,Dragon Wall 2,https://img.game8.co/3407523/a95c3a02dc7636c37522a3198d3d41ca.png/show,"If unit's Res > foe's Res, reduces damage from attacks during combat and from area-of-effect Specials (excluding R\xc3\xb8kkr area-of-effect Specials) by percentage = difference between stats x 3 (max 30%)."
32,Dragon Wall 3,https://img.game8.co/3407522/28b4be6416a63f09e071fa294a808238.png/show,"If unit's Res > foe's Res, reduces damage from attacks during combat and from area-of-effect Specials (excluding R\xc3\xb8kkr area-of-effect Specials) by percentage = difference between stats x 4 (max 40%)."
33,Frenzy 1,https://img.game8.co/3390202/bc76f23a9b7a041c489c3ed15a8da7d6.png/show,"If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding R\xc3\xb8kkr area-of-effect Specials) by percentage = difference between stats \xc3\x97 2 (max 20%). If unit's HP \xe2\x89\xa4 10% and unit initiates combat, unit can make a follow-up attack before foe can counterattack."
34,Frenzy 2,https://img.game8.co/3390201/6eb77feed1cc1b52f4173bd9f21dd7c9.png/show,"If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding R\xc3\xb8kkr area-of-effect Specials) by percentage = difference between stats \xc3\x97 3 (max 30%). If unit's HP \xe2\x89\xa4 30% and unit initiates combat, unit can make a follow-up attack before foe can counterattack."
35,Frenzy 3,https://img.game8.co/3390203/540fc396ada264ca96df5266f6d6aefa.png/show,"If unit's Spd > foe's Spd, reduces damage from attacks during combat and from area-of-effect Specials (excluding R\xc3\xb8kkr area-of-effect Specials) by percentage = difference between stats x 4 (max 40%). If units HP \xe2\x89\xa4 50% and unit initiates combat, unit can make a follow-up attack before foe can counterattack."
36,Lull Spd/Def 1,https://img.game8.co/3407566/0bc15c7766f410efd702daa22cf86a55.png/show,"Inflicts Spd/Def-1 on foe and neutralizes foe's bonuses to Spd/Def (from skills like Fortify, Rally, etc.) during combat."
37,Lull Spd/Def 2,https://img.game8.co/3407570/0fe271741f1f7333f13c7ad6c35dda76.png/show,"Inflicts Spd/Def-2 on foe and neutralizes foe's bonuses to Spd/Def (from skills like Fortify, Rally, etc.) during combat."
38,Lull Spd/Def 3,https://img.game8.co/3407569/751145c19bef26df3200434cf2ee6e60.png/show,"Inflicts Spd/Def-3 on foe and neutralizes foe's bonuses to Spd/Def (from skills like Fortify, Rally, etc.) during combat."
39,Lull Atk/Spd 1,https://img.game8.co/3407511/0db672fb2f1fd86c7d7f3cf3372539cf.png/show,"Inflicts Atk/Spd-1 on foe and neutralizes foe's bonuses to Atk/Spd (from skills like Fortify, Rally, etc.) during combat."
40,Lull Atk/Spd 2,https://img.game8.co/3407505/54521c1198eca61f05e83cb9847defd3.png/show,"Inflicts Atk/Spd-2 on foe and neutralizes foe's bonuses to Atk/Spd (from skills like Fortify, Rally, etc.) during combat."
41,Lull Atk/Spd 3,https://img.game8.co/3407506/d55ffb7f38d6ebdebb77412afeb029df.png/show,"Inflicts Atk/Spd-3 on foe and neutralizes foe's bonuses to Atk/Spd (from skills like Fortify, Rally, etc.) during combat."
42,Lull Atk/Res 1,https://img.game8.co/3407939/e2cec1efa11e6928d86e593f9af4121a.png/show,"Inflicts Atk/Res-1 on foe and neutralizes foe\xe2\x80\x99s bonuses to Atk/Res (from skills like Fortify, Rally, etc.) during combat."
43,Lull Atk/Res 2,https://img.game8.co/3407940/174c104bde18cbfaaea2befcdc8a75fe.png/show,"Inflicts Atk/Res-2 on foe and neutralizes foe\xe2\x80\x99s bonuses to Atk/Res (from skills like Fortify, Rally, etc.) during combat."
44,Lull Atk/Res 3,https://img.game8.co/3407941/1ee062afab12f02d4af6200d34e7830c.png/show,"Inflicts Atk/Res-3 on foe and neutralizes foe\xe2\x80\x99s bonuses to Atk/Res (from skills like Fortify, Rally, etc.) during combat."
45,Lull Spd/Res 1,https://img.game8.co/3374618/a938e6cfe858158555a4bd4a24001607.png/show,"Inflicts Spd/Res -1 on foe and neutralizes foe's bonuses to Spd/Res (from skills like Fortify, Rally, etc.) during combat."
46,Lull Spd/Res 2,https://img.game8.co/3374620/2b275887bb74d273a956190605d40b0d.png/show,"Inflicts Spd/Res -2 on foe and neutralizes foe's bonuses to Spd/Res (from skills like Fortify, Rally, etc.) during combat."
47,Lull Spd/Res 3,https://img.game8.co/3374619/ff13faebf7b0eafe4b21742123e669a0.png/show,"Inflicts Spd/Res -3 on foe and neutralizes foe's bonuses to Spd/Res (from skills like Fortify, Rally, etc.) during combat."
48,Lull Atk/Def 1,https://img.game8.co/3407509/e1687cca5ed5b0b77ec6f5adc8e8fd5c.png/show,"Inflicts Atk/Def-1 on foe and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat."
49,Lull Atk/Def 2,https://img.game8.co/3407517/50d5a2110b365cf9563c7c4c3dd22e91.png/show,"Inflicts Atk/Def-2 on foe and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat."
50,Lull Atk/Def 3,https://img.game8.co/3407512/71ce31540976923d8ca2f3c7f2c7fcba.png/show,"Inflicts Atk/Def-3 on foe and neutralizes foe's bonuses to Atk/Def (from skills like Fortify, Rally, etc.) during combat."
51,Guard Bearing 1,https://img.game8.co/3407543/0a2a60e4c782de277dfafaf95ad545e5.png/show,"During unit\xe2\x80\x99s first combat in enemy phase, if foe initiates combat, reduces damage from foe\xe2\x80\x99s first attack by 30%."
52,Guard Bearing 2,https://img.game8.co/3407541/d780ad2158466eafb49933c3f702d586.png/show,"During unit\xe2\x80\x99s first combat in enemy phase, if foe initiates combat, reduces damage from foe\xe2\x80\x99s first attack by 40%."
53,Guard Bearing 3,https://img.game8.co/3407533/dfe6eae217cf3b92f3b3ced9cae5b76e.png/show,"During unit\xe2\x80\x99s first combat in enemy phase, if foe initiates combat, reduces damage from foe\xe2\x80\x99s first attack by 50%."
54,Wyvern Flight 1,https://img.game8.co/3407585/c44b454d6100f52c925c2e9ba04c67d0.png/show,"At start of combat, if unit's Spd \xe2\x89\xa5 foe's Spd-10, inflicts penalty on foe's Atk/Def during combat = 30% of difference between Def stats (unit's Def minus foe's Def) before combat. (Maximum penalty of -3.)"
55,Wyvern Flight 2,https://img.game8.co/3407586/ae793a3b552d9bc88f3e2992d47e7e54.png/show,"At start of combat, if unit's Spd \xe2\x89\xa5 foe's Spd-10, inflicts penalty on foe's Atk/Def during combat = 40% of difference between Def stats (unit's Def minus foe's Def) before combat. (Maximum penalty of -5.)"
56,Wyvern Flight 3,https://img.game8.co/3407587/d0b6446a92c81dd613ca3f8e69ac87b7.png/show,"At start of combat, if unit's Spd \xe2\x89\xa5 foe's Spd-10, inflicts penalty on foe's Atk/Def during combat = 50% of difference between Def stats (unit's Def minus foe's Def) before combat. (Maximum penalty of -7.)"
57,Dive-Bomb 1,https://img.game8.co/3407510/37f31c3eeece40bacd2084608459938a.png/show,"At start of combat, if both unit's and foe's HP = 100% and unit initiates combat, unit can make a follow-up attack before foe can counterattack."
58,Dive-Bomb 2,https://img.game8.co/3407515/1a9be11d9acab75c81a3cbdb99dd91cb.png/show,"At start of combat, if both unit's and foe's HP \xe2\x89\xa5 90% and unit initiates combat, unit can make a follow-up attack before foe can counterattack."
59,Dive-Bomb 3,https://img.game8.co/3407507/07d636694def6bbcb891f1de681ac523.png/show,"At start of combat, if both unit's and foe's HP \xe2\x89\xa5 80% and unit initiates combat, unit can make a follow-up attack before foe can counterattack."
60,Wary Fighter 1,https://img.game8.co/3405518/8e1493851ccff10bb9ec3020cc2b6aeb.png/show,"If unit's HP \xe2\x89\xa5 90%, unit and foe cannot make a follow-up attack."
61,Wary Fighter 2,https://img.game8.co/3405517/36980aba094097e7960d507cbc26820b.png/show,"If unit's HP \xe2\x89\xa5 70%, unit and foe cannot make a follow-up attack."
62,Wary Fighter 3,https://img.game8.co/3405516/8c26c64e2dc5e3baa82ddf4638b2958f.png/show,"If unit's HP \xe2\x89\xa5 50%, unit and foe cannot make a follow-up attack."
63,Bold Fighter 1,https://img.game8.co/3407815/5b8912d80ffa05e6244888c7b8080e30.png/show,"If unit\xe2\x80\x99s HP \xc2\xa0= 100% and unit initiates combat, unit makes a guaranteed follow-up attack. Grants Special cooldown charge +1 per attack. (Does not stack. )"
64,Bold Fighter 2,https://img.game8.co/3407808/1822f37bbe80e5661b388f9cd8293342.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 50% and unit initiates combat, unit makes a guaranteed follow-up attack. Grants Special cooldown charge +1 per attack. (Does not stack. )"
65,Bold Fighter 3,https://img.game8.co/3407805/b4513fceb220aac4e39359985bddcb02.png/show,"If unit initiates combat, unit makes a guaranteed follow-up attack. Grants Special cooldown charge +1 per attack. (Does not stack. )"
66,Vengeful Fighter 1,https://img.game8.co/3405547/8f5bdd1bb67e38540a27872cb05e7e5f.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 90% and foe initiates combat, unit makes a guaranteed follow-up attack. Grants Special cooldown charge +1 per attack. (Does not stack. )"
67,Vengeful Fighter 2,https://img.game8.co/3405548/5ced1a411ae40341748468c8f93f8d0f.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 70% and foe initiates combat, unit makes a guaranteed follow-up attack. Grants Special cooldown charge +1 per attack. (Does not stack. )"
68,Vengeful Fighter 3,https://img.game8.co/3405546/ef3a0034c5f4c06669d0477a88fb19b1.png/show,"If unit\xe2\x80\x99s HP \xe2\x89\xa5 50% and foe initiates combat, unit makes a guaranteed follow-up attack. Grants Special cooldown charge +1 per attack. (Does not stack. )"
69,Special Fighter 1,https://img.game8.co/3405658/057b303f7f7c0205b85772d3d879a2bb.png/show,"At start of combat, if unit\xe2\x80\x99s HP \xe2\x89\xa5 90%, grants Special cooldown charge +1 to unit and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Des not stack. )"
70,Special Fighter 2,https://img.game8.co/3405657/7c4a196887b48c5e9a79668cdc23524a.png/show,"At start of combat, if unit\xe2\x80\x99s HP \xe2\x89\xa5 70%, grants Special cooldown charge +1 to unit and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack. )"
71,Special Fighter 3,https://img.game8.co/3405656/5e740ddf973a60b13b65df319cadc142.png/show,"At start of combat, if unit\xe2\x80\x99s HP \xe2\x89\xa5 50%, grants Special cooldown charge +1 to unit and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack. )"
72,Odd Follow-Up 1,https://img.game8.co/3407497/677c881a8baa189be36a0150532dfac6.png/show,"If it is an odd-numbered turn and unit's HP = 100%, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack."
73,Odd Follow-Up 2,https://img.game8.co/3407498/c782501a4da62ade44f51b390a432e6b.png/show,"If it is an odd-numbered turn and unit's HP \xe2\x89\xa5 50%, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack."
74,Odd Follow-Up 3,https://img.game8.co/3407488/dc8088aeb279d1b8e69ebc05cf2d08cf.png/show,"If it is an odd-numbered turn, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack."
75,Even Follow-Up 1,https://img.game8.co/3407604/6f124b654b62a99cd7fc30c81c9b8c29.png/show,"If it is an even-numbered turn and unit's HP = 100%, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack."
76,Even Follow-Up 2,https://img.game8.co/3407602/baac249b6afd144204b8f40d74048ae9.png/show,"If it is an even-numbered turn and unit's HP \xe2\x89\xa5 50%, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack."
77,Even Follow-Up 3,https://img.game8.co/3407603/6fa1f520bfa63cee44314fb5ecd00268.png/show,"If it is an even-numbered turn, unit makes a guaranteed follow-up attack and foe cannot make a follow-up attack."
78,Daring Fighter 1,https://img.game8.co/3407503/5901a6dbdaa14eee5c140471c7b726f4.png/show,"If unit initiates combat, neutralizes effects that prevent unit's follow-up attacks during combat. If unit's HP \xe2\x89\xa4 40% and unit initiates combat, unit can make a follow-up attack before foe can counterattack."
79,Daring Fighter 2,https://img.game8.co/3407500/836e2110efff84e23dde1d0337f0763a.png/show,"If unit initiates combat, neutralizes effects that prevent unit's follow-up attacks during combat. If unit's HP \xe2\x89\xa4 60% and unit initiates combat, unit can make a follow-up attack before foe can counterattack."
80,Daring Fighter 3,https://img.game8.co/3407501/98d0fcb0a1814e75c1e1b82563806298.png/show,"If unit initiates combat, neutralizes effects that prevent unit's follow-up attacks during combat. If unit's HP \xe2\x89\xa4 80% and unit initiates combat, unit can make a follow-up attack before foe can counterattack."
81,Crafty Fighter 1,https://img.game8.co/3407495/7bc4474b92b1bd9d38b685beba9cf246.png/show,"If unit's HP \xe2\x89\xa5 75% and foe initiates combat, unit makes a guaranteed follow-up attack and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)"
82,Crafty Fighter 2,https://img.game8.co/3407493/52a4581605411c50bbc7c406148c276b.png/show,"If unit's HP \xe2\x89\xa5 50% and foe initiates combat, unit makes a guaranteed follow-up attack and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)"
83,Crafty Fighter 3,https://img.game8.co/3407508/c3f46d20ac0f5c9222b0a06b29b014f2.png/show,"If unit's HP \xe2\x89\xa5 25% and foe initiates combat, unit makes a guaranteed follow-up attack and inflicts Special cooldown charge -1 on foe per attack. (Only highest value applied. Does not stack.)"
84,Slick Fighter 1,https://img.game8.co/3407582/c85e63099d9a81c9abadfee4dd598bf0.png/show,"If unit's HP \xe2\x89\xa5 25% and foe initiates combat, neutralizes penalties on unit during combat and unit makes a guaranteed follow-up attack."
85,Slick Fighter 2,https://img.game8.co/3407578/8fafe3273956c4538cbc32d7f4461621.png/show,"If unit's HP \xe2\x89\xa5 50% and foe initiates combat, neutralizes penalties on unit during combat and unit makes a guaranteed follow-up attack."
86,Slick Fighter 3,https://img.game8.co/3407559/6229aee20cd6176bc5b395f0f3b2c9db.png/show,"If unit's HP \xe2\x89\xa5 25% and foe initiates combat, neutralizes penalties on unit during combat and unit makes a guaranteed follow-up attack."
87,Dragon's Ire 1,https://img.game8.co/3407562/dbce411e84302c627b069f727b1e8f8b.png/show,"If unit's HP = 100% and foe initiates combat, neutralizes effects that prevent unit's follow-up attacks and unit makes a guaranteed follow-up attack."
88,Dragon's Ire 2,https://img.game8.co/3407571/237b587b9e2708668dbaf0b935e377d2.png/show,"If unit's HP \xe2\x89\xa5 75% and foe initiates combat, neutralizes effects that prevent unit's follow-up attacks and unit makes a guaranteed follow-up attack."
89,Dragon's Ire 3,https://img.game8.co/3407564/7a16d9c330325455266ad42541ab5647.png/show,"If unit's HP \xe2\x89\xa5 50% and foe initiates combat, neutralizes effects that prevent unit's follow-up attacks and unit makes a guaranteed follow-up attack."
90,Hardy Fighter 1,https://img.game8.co/3435526/dcbd8b1656a459cf3ee422155d60f1bc.png/show,"Neutralizes effects that guarantee foe\'s follow-up attacks during combat. At the start of turn 1, if foe\'s attack triggers Special, grants Special cooldown count-1. If foe\'s attack triggers Special and Special has the ""reduces damage by X%"" effect, Special triggers twice. Each Special trigger is calculated as a separate activation."
91,Hardy Fighter 2,https://img.game8.co/3435524/127805d16671506151b3487037723e31.png/show,"Neutralizes effects that guarantee foe\'s follow-up attacks during combat. At the start of turn 1, if foe\'s attack triggers Special, grants Special cooldown count-1. If foe\'s attack triggers Special and Special has the ""reduces damage by X%"" effect, Special triggers twice, then reduces damage by 5. Each Special trigger is calculated as a separate activation."
92,Hardy Fighter 3,https://img.game8.co/3435525/8724b93965a992ac937ec69d823f8a47.png/show,"Neutralizes effects that guarantee foe\'s follow-up attacks during combat. At the start of turn 1, if foe\'s attack triggers Special, grants Special cooldown count-2. If foe\'s attack triggers Special and Special has the ""reduces damage by X%"" effect, Special triggers twice, then reduces damage by 5. Each Special trigger is calculated as a separate activation."
93,Special Spiral 1,https://img.game8.co/3405655/4469e20de507b9e96b2e3514ba830328.png/show,"If unit initiates combat and unit\xe2\x80\x99s Special triggers before or during combat, grants Special cooldown count -1 after combat."
94,Special Spiral 2,https://img.game8.co/3405653/96f4c69da2e7eeaeefe9aa7087693c3e.png/show,"If Special triggers before or during combat, grants Special cooldown count -1 after combat."
95,Special Spiral 3,https://img.game8.co/3405654/1928b0fb83506167b760eb65b7042fd9.png/show,"If Special triggers before or during combat, grants Special cooldown count -2 after combat."
96,,,
97,Seal Atk 1,https://img.game8.co/3405720/e3304811ab2840529ebdd00c5b284cf7.png/show,Inflicts Atk -3 on foe through its next action after combat.
98,Seal Atk 2,https://img.game8.co/3405718/6db349d2569b3407a9406b886abed919.png/show,Inflicts Atk -5 on foe through its next action after combat.
99,Seal Atk 3,https://img.game8.co/3405719/6b7d6212193c3626a7984afc249d375d.png/show,Inflicts Atk -7 on foe through its next action after combat.
100,Seal Spd 1,https://img.game8.co/3405702/d3d234c540e0d017fae823f270e67161.png/show,Inflicts Spd -3 on foe through its next action after combat.
101,Seal Spd 2,https://img.game8.co/3405701/2db6c0a70182ff56c4f02922424c8c8c.png/show,Inflicts Spd -5 on foe through its next action after combat.
102,Seal Spd 3,https://img.game8.co/3405700/f1cd37bc2278cb04c0516e61fe06ea41.png/show,Inflicts Spd -7 on foe through its next action after combat.
103,Seal Def 1,https://img.game8.co/3405710/5c505dd1a7bb0f54b38889523467c28a.png/show,Inflicts Def -3 on foe through its next action after combat.
104,Seal Def 2,https://img.game8.co/3405708/617e7eb5d7ad18caaa0f878c9b5349e7.png/show,Inflicts Def -5 on foe through its next action after combat.
105,Seal Def 3,https://img.game8.co/3405709/1930525de957537c391d104e06c8853d.png/show,Inflicts Def -7 on foe through its next action after combat.
106,Seal Res 1,https://img.game8.co/3405704/a252bb499e99d9ecc658ef76801ea349.png/show,Inflicts Res -3 on foe through its next action after combat.
107,Seal Res 2,https://img.game8.co/3405705/e4dd17c17dabcb6530141ebd376504ae.png/show,Inflicts Res -5 on foe through its next action after combat.
108,Seal Res 3,https://img.game8.co/3405703/6f73880a1d90b73522e28cc9a4fb2bd5.png/show,Inflicts Res -7 on foe through its next action after combat.
109,Seal Atk/Spd 1,https://img.game8.co/3406331/a3d43a67d3511efb2f52be43c2205748.png/show,Inflicts Atk/Spd -3 on foe through its next action after combat.
110,Seal Atk/Spd 2,https://img.game8.co/3406330/1f9c517419b7c52103a6351b2f8f9953.png/show,Inflicts Atk/Spd -5 on foe through its next action after combat.
111,Seal Atk/Def 1,https://img.game8.co/3405716/e3af5c8e4a5920e9f097bc4b7d23705a.png/show,Inflicts Atk/Def -3 on foe through its next action after combat.
112,Seal Atk/Def 2,https://img.game8.co/3405717/bb91cab790cb17d879aaf61f7324964a.png/show,Inflicts Atk/Def -5 on foe through its next action after combat.
113,Seal Def/Res 1,https://img.game8.co/3405706/c502cac61d8d112a6155ff83410af9d6.png/show,Inflicts Def/Res -3 on foe through its next action after combat.
114,Seal Def/Res 2,https://img.game8.co/3405707/76641ba1e7801d4c6cb50af7fabf3a7b.png/show,Inflicts Def/Res -5 on foe through its next action after combat.
115,Seal Spd/Def 1,https://img.game8.co/3374646/8cad49e3b89ae2de0fa7addb3fe632d2.png/show,Inflicts Spd/Def-3 on foe through its next action after combat.
116,Seal Spd/Def 2,https://img.game8.co/3374647/390b8e6e10457d44812146df7d7b481a.png/show,Inflicts Spd/Def-5 on foe through its next action after combat.
117,Seal Spd/Res 1,https://img.game8.co/3407232/6badeae20cee82060782b8682927f6b1.png/show,Inflicts Spd/Res-3 on foe through its next action after combat.
118,Seal Spd/Res 2,https://img.game8.co/3407228/539c4e2eaf905e39ae0337bebb13d618.png/show,Inflicts Spd/Res -5 on foe through its next action after combat.
119,Chill Atk 1,https://img.game8.co/3407746/f215396c6836ce50f948cf4093ee0020.png/show,"At the start of each turn, inflicts Atk -3 on foe on the enemy team with the highest Atk through its next action."
